variant,case,passed,gemm_cycles,core_cycles,dma_active_cycles,dma_slots_max,dma_slots_full_cycles,dcache_context_max,dcache_context_full_cycles,wait_dcache,wait_lmem,useful_read_bytes,aggregate_read_bytes,hbm_read_bytes_per_gemm_cycle
l16,m4,True,16257,22854,10842,28,0,,,4047,2071,180224,180224,10.755243894937566
l16,m256,True,606387,612954,73534,32,27943,,,14632,33025,1376256,1376256,2.269600106862449
l32,m4,True,13034,19629,10050,23,0,,,4047,3,180224,180224,13.414761393279116
l32,m256,True,414891,421479,93155,32,42463,,,16504,46834,1376256,1376256,3.31715076972024
d8_r32_ordered,m4,True,14759,21381,11998,15,0,8,8333,6660,3,180224,573440,11.846873094383088
d8_r32_ordered,m256,True,411384,417981,65348,32,17193,8,33658,26269,30898,1376256,2162688,3.3454290881512163
d16_r32_ordered,m4,True,12564,19131,9560,23,0,16,3028,3988,14,180224,573440,13.916587074180198
d16_r32_ordered,m256,True,411130,417756,48392,32,13014,16,9438,16453,20357,1376256,2162688,3.347495925862866
d32_r32_ordered,m4,True,12579,19206,9555,27,0,23,0,3991,11,180224,573440,13.899992050242467
d32_r32_ordered,m256,True,411066,417681,59312,32,18855,22,0,15613,31731,1376256,2162688,3.348017106741983
d64_r32_ordered,m4,True,12579,19206,9555,27,0,23,0,3991,11,180224,573440,13.899992050242467
d64_r32_ordered,m256,True,411066,417681,59312,32,18855,22,0,15613,31731,1376256,2162688,3.348017106741983
d128_r32_ordered,m4,True,12579,19206,9555,27,0,23,0,3991,11,180224,573440,13.899992050242467
d128_r32_ordered,m256,True,411066,417681,59312,32,18855,22,0,15613,31731,1376256,2162688,3.348017106741983
d128_r64_ordered,m4,True,12579,19206,9555,27,0,23,0,3991,11,180224,573440,13.899992050242467
d128_r64_ordered,m256,True,411021,417606,59227,64,14887,22,0,16061,33330,1376256,2162688,3.3483836592290905
d128_r128_ordered,m4,True,12579,19206,9555,27,0,23,0,3991,11,180224,573440,13.899992050242467
d128_r128_ordered,m256,True,411021,417606,59227,123,0,22,0,17765,33330,1376256,2162688,3.3483836592290905
