cycle,allocate,request_done,fetch_active_r,request_fire,sent_r,fetch_slot_r,request_byte_addr,allocate_owner,allocate_segment,slot_occupancy_o,req_valid,req_ready,input_fire,weight_ready,post_txn_count,post_head_psum_ready,post_head_scaled_ready
23080,0,0,1,0,0,4,8585772800,0,127,8,0,1,0,1,1,1,0
23081,0,0,1,0,0,4,8585772800,0,127,8,1,1,1,1,1,1,1
23082,1,1,1,15,0,4,8585772800,1,0,7,0,1,0,1,1,1,0
23083,0,0,1,0,0,5,8585740288,1,0,8,1,1,1,1,1,1,0
23084,0,0,1,0,0,5,8585740288,1,0,7,0,1,0,1,1,1,1
23085,1,1,1,15,0,5,8585740288,1,1,7,0,1,0,1,1,1,0
23086,0,0,1,0,0,6,8585740544,1,1,8,1,1,1,1,1,1,0
23087,0,0,1,0,0,6,8585740544,1,1,7,0,1,0,1,1,1,1
23088,1,1,1,15,0,6,8585740544,1,2,7,0,1,0,1,1,1,0
23089,0,0,1,0,0,0,8585740800,1,2,8,1,1,1,1,1,1,0
23090,0,0,1,0,0,0,8585740800,1,2,7,0,1,0,1,1,1,1
23091,1,1,1,15,0,0,8585740800,1,3,7,0,1,0,1,1,1,0
