cycle,allocate,request_done,fetch_active_r,request_fire,sent_r,fetch_slot_r,request_byte_addr,allocate_owner,allocate_segment,slot_occupancy_o,req_valid,req_ready,input_fire,weight_ready,post_txn_count,post_head_psum_ready,post_head_scaled_ready
22757,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
22758,1,0,0,0,0,0,8585740288,0,0,0,0,1,0,1,0,1,0
22759,1,1,1,15,0,0,8585740288,0,1,1,0,1,0,1,0,1,0
22760,1,1,1,15,0,1,8585740544,0,2,2,0,1,0,1,0,1,0
22761,1,1,1,15,0,2,8585740800,0,3,3,0,1,0,1,0,1,0
22762,1,1,1,15,0,3,8585741056,0,4,4,0,1,0,1,0,1,0
22763,1,1,1,15,0,4,8585741312,0,5,5,0,1,0,0,0,1,0
22764,1,1,1,15,0,5,8585741568,0,6,6,0,1,0,0,0,1,0
22765,1,1,1,15,0,6,8585741824,0,7,7,0,1,0,0,0,1,0
22766,1,1,1,15,0,7,8585742080,0,8,8,0,1,0,0,0,1,0
22767,1,1,1,15,0,8,8585742336,0,9,9,0,1,0,0,0,1,0
22768,1,1,1,15,0,9,8585742592,0,10,10,0,1,0,0,0,1,0
