cycle,allocate,request_done,fetch_active_r,request_fire,sent_r,fetch_slot_r,request_byte_addr,allocate_owner,allocate_segment,slot_occupancy_o,req_valid,req_ready,input_fire,weight_ready,post_txn_count,post_head_psum_ready,post_head_scaled_ready
96576,1,0,0,0,15,13,8585779168,0,24,15,1,0,0,1,3,0,1
96577,0,1,1,15,0,1,8585779424,0,25,16,1,1,1,1,4,0,1
96578,1,0,0,0,15,1,8585779424,0,25,15,1,0,0,1,4,0,1
96579,0,1,1,15,0,14,8585779680,0,26,16,1,0,0,1,4,0,1
96580,0,0,0,0,15,14,8585779680,0,26,16,1,0,0,1,4,0,1
96581,0,0,0,0,15,14,8585779680,0,26,16,1,0,0,1,4,0,1
96582,0,0,0,0,15,14,8585779680,0,26,16,1,0,0,1,4,0,1
96583,0,0,0,0,15,14,8585779680,0,26,16,1,0,0,1,4,0,1
96584,0,0,0,0,15,14,8585779680,0,26,16,1,0,0,1,4,0,1
96585,0,0,0,0,15,14,8585779680,0,26,16,1,0,0,1,4,0,1
96586,0,0,0,0,15,14,8585779680,0,26,16,1,0,0,1,4,0,1
96587,0,0,0,0,15,14,8585779680,0,26,16,1,0,0,1,4,0,1
96588,0,0,0,0,15,14,8585779680,0,26,16,1,0,0,1,4,0,1
96589,0,0,0,0,15,14,8585779680,0,26,16,1,0,0,1,4,0,1
