cycle,head_tag,head_addr,head_psum_ready,post_count,post_launch,tree_credit,input_valid,input_ready,rd_fire,logical_slot,logical_rsp_slot,rsp_fire,core_rsp_tag,core_rsp_fire,request_txn,join_free,join_alloc,join_issue,join_issue_done,lane_req_valid,lane_req_fire,lane_rsp_valid,lane_rsp_ready,lane_rsp_tags,join_rsp_tag,join_rsp_valid,join_rsp_ready,lane_addr,b0_root_valid,b0_root_read,b0_root_write,b0_selected_root,b0_selected,b0_grant_fire,b4_root_valid,b4_root_read,b4_root_write,b4_selected_root,b4_selected,b4_grant_fire,b8_root_valid,b8_root_read,b8_root_write,b8_selected_root,b8_selected,b8_grant_fire,b12_root_valid,b12_root_read,b12_root_write,b12_selected_root,b12_selected,b12_grant_fire
96351,32166,8585886080,1,4,1,0,1,1,0,0,11,1,32169,1,32178,6,0,5,1,255,255,15,15,58082138317710,11,1,1,226049861627076034014850153019605972297585759257004507673365819478421030824,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,3,2,0,0,0,1
96352,32167,8585886144,1,3,0,0,1,0,1,6,14,0,32169,0,32182,6,1,0,0,0,0,255,255,4467856773185,14,0,0,226049854887089364088639335198010180613315726881410784139381439418460555144,2,2,0,1,8,1,2,2,0,1,12,1,0,2,0,0,7,0,3,2,0,0,0,1
96353,32167,8585886144,1,4,1,0,1,1,0,0,1,1,32170,1,32178,1,0,6,1,255,255,255,255,62549991096320,1,1,1,226049863312072701496402857475004920218653267350902938556861914493411149744,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,3,2,0,0,0,1
96354,32168,8585886208,1,3,0,0,1,0,1,7,15,1,32170,0,32183,1,1,0,0,0,0,255,255,8935713546370,15,1,1,226049854887089364088639335198010180613315726881410784139381439418460555144,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,8,1,3,2,0,0,0,1
96355,32168,8585886208,1,4,1,0,1,1,0,0,0,1,32171,1,32178,2,0,1,1,255,255,0,0,8935713546370,0,1,1,226049864997069368977955561930403868139720775444801369440358009508401268664,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96356,32169,8585886272,1,3,0,0,1,0,1,9,15,0,32171,0,32184,2,1,0,0,0,0,15,15,8935713812675,15,0,0,226049854887089364088639335198010180613315726881410784139381439418460555144,2,2,0,1,8,1,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96357,32169,8585886272,1,4,1,0,1,1,0,0,15,0,32172,1,32178,7,0,2,1,255,255,0,0,8935713812675,15,0,0,226049866682066036459508266385802816060788283538699800323854104523391387584,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96358,32170,8585886336,1,3,0,0,1,0,1,10,15,0,32172,0,32185,7,1,0,0,0,0,255,255,17871427092740,15,0,0,226049854887089364088639335198010180613315726881410784139381439418460555144,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,8,1,3,2,0,0,0,1
96359,32170,8585886336,1,4,1,0,1,1,0,0,4,1,32173,1,32178,4,0,7,0,255,15,0,0,17871427092740,4,1,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96360,32171,8585886400,1,3,0,0,1,0,1,8,0,0,32173,0,32186,4,1,7,0,240,0,15,15,17871427359045,0,0,0,226049868367062703941060970841201763981855791632598231207350199538381506504,2,2,0,1,8,1,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96361,32171,8585886400,1,4,1,0,1,1,0,0,0,0,32174,1,32178,8,0,7,0,240,0,0,0,17871427359045,0,0,0,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96362,32172,8585886464,1,3,0,0,1,0,1,12,0,0,32174,0,32187,8,1,7,0,240,0,15,15,17871427625350,0,0,0,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,2,2,0,1,8,1,3,2,0,0,0,1
96363,32172,8585886464,1,4,1,0,1,1,0,0,0,0,32175,1,32178,9,0,7,0,240,0,0,0,17871427625350,0,0,0,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96364,32173,8585886528,1,3,0,0,1,0,1,11,0,0,32175,0,32188,9,1,7,0,240,0,15,15,17871426293825,0,0,0,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96365,32173,8585886528,1,4,1,0,1,1,0,0,0,0,32176,1,32178,10,0,7,0,240,0,0,0,17871426293825,0,0,0,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96366,32174,8585886592,1,3,0,0,1,0,1,13,0,0,32176,0,32189,10,1,7,0,240,0,15,15,17871426560130,0,0,0,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96367,32174,8585886592,1,4,1,0,1,1,0,0,0,0,32176,0,32178,11,0,7,0,240,0,0,0,17871426560130,0,0,0,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96368,32175,8585886656,1,3,0,0,1,0,1,1,0,0,32176,0,32190,11,1,7,0,240,0,15,15,17871427891655,0,0,0,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96369,32175,8585886656,1,4,1,0,1,1,0,0,0,0,32178,1,32178,12,0,7,0,240,0,0,0,17871427891655,0,0,0,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96370,32176,8585886720,1,3,0,0,1,0,1,14,0,0,32178,0,32191,12,1,7,0,240,0,0,0,17871427891655,0,0,0,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96371,32176,8585886720,1,4,1,0,1,1,0,0,0,0,32178,0,32178,13,0,7,0,240,0,0,0,17871427891655,0,0,0,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96372,32177,8585886784,0,3,0,0,1,0,1,0,0,0,32178,0,32192,13,1,7,0,240,0,0,0,17871427891655,0,0,0,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96373,32177,8585886784,0,4,0,0,1,1,0,0,0,0,32180,1,32192,14,0,7,0,240,0,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96374,32177,8585886784,0,4,0,0,1,0,1,15,0,0,32180,0,32193,14,1,7,0,240,0,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96375,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,7,0,240,0,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96376,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,7,0,240,0,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96377,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,7,0,240,0,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96378,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,7,0,240,0,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96379,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,7,0,240,0,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
96380,32177,8585886784,0,4,0,0,1,0,0,0,0,0,32180,0,32192,15,0,7,0,240,0,0,0,17871427891655,0,0,1,226049868367062703941060970841201763981855791632598231207350199538381506504,0,2,0,0,7,0,0,2,0,0,7,0,0,2,0,0,7,0,3,2,0,0,0,1
