design,family,precision,period_ns,sw_uw,int_uw,leak_uw,total_uw,area_um2,comb_area_um2,seq_area_um2,buf_area_um2,wns_ns,crit_ns,rpt_path
fp_mac_pe,fp,FP16,10.0,105.0,180.0,0.648,286.0,3356.612969,3222.179972,134.432997,215.514006,0.0,0.0,/home/jaeyongjang/project.local/vortex_fpint/third_party/component_database/fp_operation/fp_mac_pe/period10.0_precisionFP16_pipeline1_out_precisionFP32/pwr.run1/reports/fp_mac_pe_report_power.report
fp_mac_pe,fp,FP32,10.0,143.0,243.0,0.843,386.0,4004.675949,3800.744954,203.930995,229.203006,0.36,0.0,/home/jaeyongjang/project.local/vortex_fpint/third_party/component_database/fp_operation/fp_mac_pe/period10.0_precisionFP32_pipeline1_out_precisionFP32/pwr.run1/reports/fp_mac_pe_report_power.report
fp_sum3,fp,FP16,10.0,31.099999999999998,51.9,0.17200000000000001,83.2,936.701999,877.500002,59.201997,70.902002,0.36,0.0,/home/jaeyongjang/project.local/vortex_fpint/third_party/component_database/fp_operation/fp_sum3/period10.0_precisionFP16_pipeline1/pwr.run1/reports/fp_sum3_report_power.report
fp_sum3,fp,FP32,10.0,66.60000000000001,165.0,0.429,232.0,2195.387997,1822.509003,372.878995,179.127005,1.46,0.0,/home/jaeyongjang/project.local/vortex_fpint/third_party/component_database/fp_operation/fp_sum3/period10.0_precisionFP32_pipeline1/pwr.run1/reports/fp_sum3_report_power.report
fp_sum4,fp,FP16,10.0,59.9,155.0,0.365,215.0,1838.888998,1504.034999,334.853999,155.025005,0.0,0.0,/home/jaeyongjang/project.local/vortex_fpint/third_party/component_database/fp_operation/fp_sum4/period10.0_precisionFP16_pipeline1/pwr.run1/reports/fp_sum4_report_power.report
fp_sum4,fp,FP32,10.0,127.0,330.0,0.7999999999999999,458.0,3878.315985,3187.314004,691.001981,341.172009,0.01,0.0,/home/jaeyongjang/project.local/vortex_fpint/third_party/component_database/fp_operation/fp_sum4/period10.0_precisionFP32_pipeline1/pwr.run1/reports/fp_sum4_report_power.report
fp_add,fp,FP16,10.0,11.0,22.7,0.057800000000000004,33.800000000000004,326.195999,282.438001,43.757998,29.601001,4.17,0.0,/home/jaeyongjang/project.local/vortex_fpint/third_party/component_database/fp_operation/fp_add/period10.0_precisionFP16_pipeline1/pwr.run1/reports/fp_add_report_power.report
fp_add,fp,FP32,10.0,21.2,43.099999999999994,0.112,64.39999999999999,659.295,576.927003,82.367996,56.745002,2.0,0.0,/home/jaeyongjang/project.local/vortex_fpint/third_party/component_database/fp_operation/fp_add/period10.0_precisionFP32_pipeline1/pwr.run1/reports/fp_add_report_power.report
fp_flt2i,fp,FP16,10.0,5.32,19.3,0.0327,24.6,205.568998,148.941001,56.627997,21.060001,8.14,0.0,/home/jaeyongjang/project.local/vortex_fpint/third_party/component_database/fp_operation/fp_flt2i/period10.0_precisionFP16_pipeline1/pwr.run1/reports/fp_flt2i_report_power.report
fp_flt2i,fp,FP32,10.0,10.8,33.9,0.056799999999999996,44.8,376.154997,280.917001,95.237996,27.027001,7.34,0.0,/home/jaeyongjang/project.local/vortex_fpint/third_party/component_database/fp_operation/fp_flt2i/period10.0_precisionFP32_pipeline1/pwr.run1/reports/fp_flt2i_report_power.report
fp_i2flt,fp,FP16,10.0,4.7,17.4,0.036500000000000005,22.099999999999998,231.542998,177.489,54.053998,20.358001,5.66,0.0,/home/jaeyongjang/project.local/vortex_fpint/third_party/component_database/fp_operation/fp_i2flt/period10.0_precisionFP16_pipeline1/pwr.run1/reports/fp_i2flt_report_power.report
