instance,WKV_uW,WoQ_uW,delta_uW,WKV_area_um2,WoQ_area_um2,delta_area_um2
u_mxu,65700.000,65500.000,200.000,424305.292,420355.138,3950.154
u_pre_proc_pipe_buffer,1140.000,1140.000,0.000,5526.144,5526.144,0.000
u_prealigner,2050.000,2080.000,-30.000,12316.473,12318.111,-1.638
u_prealign_blk_idx_pipe,89.100,0.000,89.100,336.960,0.000,336.960
u_prealign_max_exp_pipe,14.300,14.400,-0.100,63.180,65.520,-2.340
u_in_pipe,335.000,332.000,3.000,1084.239,1084.239,0.000
u_out_scaler_vec,740.000,740.000,0.000,50254.308,49903.074,351.234
u_int2fp_vec,1770.000,1770.000,0.000,21244.392,21242.871,1.521
u_accumulator_vec,923.000,929.000,-6.000,59203.170,59089.212,113.958
u_acc_rd_fifo,12.280,12.290,-0.010,24930.945,24929.775,1.170
u_act_reduce,795.000,720.000,75.000,3356.847,2965.950,390.897
u_in_scaler_vec,465.000,0.000,465.000,23835.006,0.000,23835.006
u_zp_mul_out_reg,577.000,572.000,5.000,2763.072,2767.284,-4.212
u_act_reduce_shl_vec,504.000,431.000,73.000,5001.633,4382.118,619.515
u_merger_vec,0.636,0.633,0.003,2599.974,2597.400,2.574
u_merge_out_reg,571.000,571.000,0.000,2766.465,2766.465,0.000
u_scaler_bypass_pipe,448.000,0.000,448.000,2159.352,0.000,2159.352
u_f32_to_f16_vec,0.657,0.659,-0.002,3684.564,3684.564,0.000
gen_mxu_output_dly_0__u_mxu_output_dly_pipe,0.178,0.178,0.000,599.508,599.508,0.000
gen_mxu_output_dly_1__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_2__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_3__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_4__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_5__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_6__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_7__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_8__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_9__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_10__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_11__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_12__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_13__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_14__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_15__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_16__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_17__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_18__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_19__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_20__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_21__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_22__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_23__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_24__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_25__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_26__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_27__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_28__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_29__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_30__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
gen_mxu_output_dly_31__u_mxu_output_dly_pipe,0.000,0.000,0.000,0.000,0.000,0.000
u_misc,1364.849,986.840,378.009,53330.472,48418.695,4911.777
