trace,kind,m,k,n,section,stream,signal_kind,signal,note,time_unit,event_count,interval_count,first_cycle,last_cycle,min_interval,max_interval,mean_interval,p50_interval,p90_interval,p99_interval,burst_gap_cycles,burst_count,max_burst_len,mean_burst_len,multi_event_burst_count,multi_event_burst_event_pct,consecutive_interval_pct,bubble_interval_count,mean_bubble_cycles
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,dst_wr,fire,/tb_vcs_xrtsim/dut/vortex_axi/vortex/g_clusters[0]/cluster/g_sockets[0]/socket/g_cores[0]/core/u_VX_dma_node/u_dma_unit_misal/perf_dst_wr_fire,fire signal,1ps,166,165,7821,15672,2,4583,47.58181818181818,24.0,26.0,47.71999999999997,1,166,1,1.0,0,0.0,0.0,165,46.58181818181818
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,src_rd_data,fire,/tb_vcs_xrtsim/dut/vortex_axi/vortex/g_clusters[0]/cluster/g_sockets[0]/socket/g_cores[0]/core/u_VX_dma_node/u_dma_unit_misal/perf_src_rd_data_fire,fire signal,1ps,150,149,7819,15670,11,4587,52.691275167785236,24.0,27.0,50.04000000000002,1,150,1,1.0,0,0.0,0.0,149,51.691275167785236
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,src_rd_req,fire,/tb_vcs_xrtsim/dut/vortex_axi/vortex/g_clusters[0]/cluster/g_sockets[0]/socket/g_cores[0]/core/u_VX_dma_node/u_dma_unit_misal/perf_src_rd_req_fire,fire signal,1ps,150,149,7799,15663,11,4600,52.77852348993289,24.0,26.0,50.04000000000002,1,150,1,1.0,0,0.0,0.0,149,51.77852348993289
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,ldma_input,dst_wr,fire,/tb_vcs_xrtsim/dut/vortex_axi/vortex/g_clusters[0]/cluster/g_sockets[0]/socket/g_cores[0]/core/gemm_node/u_input_lmem_dma/gemm_req_fire,DIR=0 LMEM->GEMM,1ps,8,7,11672,15559,551,556,555.2857142857143,556.0,556.0,556.0,1,8,1,1.0,0,0.0,0.0,7,554.2857142857143
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,ldma_input,src_rd_data,fire,/tb_vcs_xrtsim/dut/vortex_axi/vortex/g_clusters[0]/cluster/g_sockets[0]/socket/g_cores[0]/core/gemm_node/u_input_lmem_dma/lmem_rsp_fire,DIR=0 LMEM->GEMM,1ps,8,7,11670,15557,551,556,555.2857142857143,556.0,556.0,556.0,1,8,1,1.0,0,0.0,0.0,7,554.2857142857143
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,ldma_input,src_rd_req,fire,/tb_vcs_xrtsim/dut/vortex_axi/vortex/g_clusters[0]/cluster/g_sockets[0]/socket/g_cores[0]/core/gemm_node/u_input_lmem_dma/lmem_req_fire,DIR=0 LMEM->GEMM,1ps,8,7,11661,15548,551,556,555.2857142857143,556.0,556.0,556.0,1,8,1,1.0,0,0.0,0.0,7,554.2857142857143
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,ldma_output,dst_wr,fire,/tb_vcs_xrtsim/dut/vortex_axi/vortex/g_clusters[0]/cluster/g_sockets[0]/socket/g_cores[0]/core/gemm_node/u_output_lmem_dma/lmem_req_fire,DIR=1 GEMM->LMEM,1ps,2,1,15622,15629,7,7,7.0,7.0,7.0,7.0,1,2,1,1.0,0,0.0,0.0,1,6.0
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,ldma_output,src_rd_data,fire,/tb_vcs_xrtsim/dut/vortex_axi/vortex/g_clusters[0]/cluster/g_sockets[0]/socket/g_cores[0]/core/gemm_node/u_output_lmem_dma/gemm_rsp_fire,DIR=1 GEMM->LMEM,1ps,2,1,15620,15627,7,7,7.0,7.0,7.0,7.0,1,2,1,1.0,0,0.0,0.0,1,6.0
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,ldma_output,src_rd_req,fire,/tb_vcs_xrtsim/dut/vortex_axi/vortex/g_clusters[0]/cluster/g_sockets[0]/socket/g_cores[0]/core/gemm_node/u_output_lmem_dma/gemm_req_fire,DIR=1 GEMM->LMEM,1ps,2,1,15619,15626,7,7,7.0,7.0,7.0,7.0,1,2,1,1.0,0,0.0,0.0,1,6.0
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,ldma_sz,dst_wr,fire,/tb_vcs_xrtsim/dut/vortex_axi/vortex/g_clusters[0]/cluster/g_sockets[0]/socket/g_cores[0]/core/gemm_node/u_quant_param_lmem_dma/gemm_req_fire,DIR=0 LMEM->GEMM,1ps,16,15,11113,15027,22,534,260.93333333333334,22.0,534.0,534.0,1,16,1,1.0,0,0.0,0.0,15,259.93333333333334
