trace,kind,m,k,n,section,metric,value,unit
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,busy_cycles,0.0,cycles
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,gemm_total_cycles,7906.0,cycles
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,gemm_compute_cycles,510.0,cycles
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,gemm_stall_cycles,8.0,cycles
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,gemm_job_count,8.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,mxu_mac_count,2048.0,mac
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,flops,4096.0,flop
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,lmem_rd_bytes,5632.0,bytes
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,lmem_wr_bytes,128.0,bytes
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,achieved_flops_per_cycle_total,0.5180875284593979,flop/cycle
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,overlap_dma_mxu_pct_total,0.0,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,input_fire,8.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,input_stall,0.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,input_util_pct_total,0.10118897040222616,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,input_util_pct_compute,1.5686274509803921,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,input_stall_pct_activity,0.0,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,weight_fire,256.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,weight_stall,0.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,weight_util_pct_total,3.238047052871237,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,weight_util_pct_compute,50.19607843137255,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,weight_stall_pct_activity,0.0,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,psum_fire,6.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,psum_stall,0.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,psum_util_pct_total,0.07589172780166961,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,psum_util_pct_compute,1.1764705882352942,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,psum_stall_pct_activity,0.0,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,output_fire,2.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,output_stall,0.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,output_util_pct_total,0.02529724260055654,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,output_util_pct_compute,0.39215686274509803,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,mxu,output_stall_pct_activity,0.0,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,rd_bytes,9472.0,bytes
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,wr_bytes,128.0,bytes
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,global_dma_bytes,9600.0,bytes
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,xfer_count,5.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,active_cycles,3272.0,cycles
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,wait_dcache,0.0,cycles
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,wait_lmem,0.0,cycles
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,util_pct_busy,0.0,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,util_pct_total,41.3862888945105,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,bandwidth_bytes_per_active_cycle,2.93398533007335,B/cycle
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,bandwidth_bytes_per_busy_cycle,0.0,B/cycle
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,src_rd_req_fire,150.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,src_rd_req_stall,0.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,src_rd_req_util_pct_active,4.5843520782396086,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,src_rd_req_stall_pct_activity,0.0,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,src_rd_data_fire,150.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,src_rd_data_stall,0.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,src_rd_data_util_pct_active,4.5843520782396086,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,src_rd_data_stall_pct_activity,0.0,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,dst_wr_fire,166.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,dst_wr_stall,0.0,count
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,dst_wr_util_pct_active,5.0733496332518335,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,dcache_dma,dst_wr_stall_pct_activity,0.0,pct
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,roofline,flops,4096.0,flop
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,roofline,global_dma_bytes,9600.0,bytes
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,roofline,lmem_bytes,5760.0,bytes
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,roofline,operational_intensity_global_dma,0.4266666666666667,flop/byte
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,roofline,achieved_flops_per_cycle_total,0.5180875284593979,flop/cycle
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,roofline,global_dma_bandwidth_bytes_per_cycle,1.2142676448267138,B/cycle
fpint_naive_m1_k128_n64,fpxint_mxu,1,128,64,roofline,lmem_bandwidth_bytes_per_cycle,0.7285605868960283,B/cycle
