trace,section,metric,value,unit
fpint_naive_m1_k256_n256,mxu_pipeline,in_flight_active_cycles,4094.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline,time_unit_available,1.0,bool
fpint_naive_m1_k256_n256,mxu_pipeline_in_flight,active_cycles,4094.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_in_flight,active_pct_compute,100.0,pct
fpint_naive_m1_k256_n256,mxu_pipeline_in_flight,p50_interval,1.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_in_flight,p90_interval,1.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_in_flight,p99_interval,493.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_in_flight,max_interval,694.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_in_flight,max_burst_len,65.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_in_flight,consecutive_interval_pct,98.4607867090154,pct
fpint_naive_m1_k256_n256,mxu_pipeline_in_flight,time_unit_available,1.0,bool
fpint_naive_m1_k256_n256,mxu_pipeline_in_pipe_valid,active_cycles,64.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_in_pipe_valid,active_pct_compute,1.5632633121641426,pct
fpint_naive_m1_k256_n256,mxu_pipeline_in_pipe_valid,p50_interval,556.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_in_pipe_valid,p90_interval,564.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_in_pipe_valid,p99_interval,687.9400000000003,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_in_pipe_valid,max_interval,758.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_in_pipe_valid,max_burst_len,1.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_in_pipe_valid,consecutive_interval_pct,0.0,pct
fpint_naive_m1_k256_n256,mxu_pipeline_in_pipe_valid,time_unit_available,1.0,bool
fpint_naive_m1_k256_n256,mxu_pipeline_prealigner_valid,active_cycles,64.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_prealigner_valid,active_pct_compute,1.5632633121641426,pct
fpint_naive_m1_k256_n256,mxu_pipeline_prealigner_valid,p50_interval,556.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_prealigner_valid,p90_interval,564.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_prealigner_valid,p99_interval,687.9400000000003,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_prealigner_valid,max_interval,758.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_prealigner_valid,max_burst_len,1.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_prealigner_valid,consecutive_interval_pct,0.0,pct
fpint_naive_m1_k256_n256,mxu_pipeline_prealigner_valid,time_unit_available,1.0,bool
fpint_naive_m1_k256_n256,mxu_pipeline_merger_in_valid,active_cycles,64.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_merger_in_valid,active_pct_compute,1.5632633121641426,pct
fpint_naive_m1_k256_n256,mxu_pipeline_merger_in_valid,p50_interval,556.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_merger_in_valid,p90_interval,564.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_merger_in_valid,p99_interval,687.9400000000003,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_merger_in_valid,max_interval,758.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_merger_in_valid,max_burst_len,1.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_merger_in_valid,consecutive_interval_pct,0.0,pct
fpint_naive_m1_k256_n256,mxu_pipeline_merger_in_valid,time_unit_available,1.0,bool
fpint_naive_m1_k256_n256,mxu_pipeline_merger_out_valid,active_cycles,64.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_merger_out_valid,active_pct_compute,1.5632633121641426,pct
fpint_naive_m1_k256_n256,mxu_pipeline_merger_out_valid,p50_interval,556.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_merger_out_valid,p90_interval,564.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_merger_out_valid,p99_interval,687.9400000000003,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_merger_out_valid,max_interval,758.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_merger_out_valid,max_burst_len,1.0,cycles
fpint_naive_m1_k256_n256,mxu_pipeline_merger_out_valid,consecutive_interval_pct,0.0,pct
fpint_naive_m1_k256_n256,mxu_pipeline_merger_out_valid,time_unit_available,1.0,bool
