n,k,m,kind,trace,section,metric,value,unit
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,memory_window,busy_cycles_denominator,51785.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,memory_window,user_kernel_body_cycles_denominator,44061.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_bytes,43136.0,bytes
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_bytes,644.0,bytes
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,total_bytes,43780.0,bytes
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_req_count,674.0,count
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_rsp_count,674.0,count
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_addr_count,28.0,count
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_data_count,28.0,count
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_rsp_count,28.0,count
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,active_cycles,1403.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,active_pct_busy,2.7092787486723955,pct
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,active_pct_user_kernel_body,3.1842218742198316,pct
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,bandwidth_bytes_per_active_cycle,31.20456165359943,B/cycle
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,bandwidth_bytes_per_busy_cycle,0.8454185574973447,B/cycle
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,bandwidth_bytes_per_user_cycle,0.9936224779283266,B/cycle
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_latency_count,674.0,count
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_latency_mean,3.0281899109792283,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_latency_p50,3.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_latency_p90,3.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_latency_p99,4.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_latency_max,7.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_latency_count,28.0,count
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_latency_mean,3.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_latency_p50,3.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_latency_p90,3.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_latency_p99,3.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_latency_max,3.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_req_event_count,674.0,count
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_req_mean_interval,65.23031203566121,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_req_p50_interval,26.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_req_p90_interval,26.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_req_p99_interval,161.67999999999984,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_req_max_interval,14052.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_req_max_burst_len,1.0,count
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_req_consecutive_interval_pct,0.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_rsp_event_count,674.0,count
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_rsp_mean_interval,65.23031203566121,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_rsp_p50_interval,26.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_rsp_p90_interval,26.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_rsp_p99_interval,162.79999999999973,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_rsp_max_interval,14055.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_rsp_max_burst_len,1.0,count
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,read_rsp_consecutive_interval_pct,0.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_addr_event_count,28.0,count
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_addr_mean_interval,1622.5925925925926,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_addr_p50_interval,11.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_addr_p90_interval,773.6000000000029,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_addr_p99_interval,22028.73999999999,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_addr_max_interval,23420.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_addr_max_burst_len,1.0,count
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_addr_consecutive_interval_pct,0.0,cycles
256,256,1,fpxint_mxu,fpint_naive_m1_k256_n256,hbm_axi,write_data_event_count,28.0,count
