trace,phase,dispatch_count,issue_cycle_count,attributed_cycles,stall_or_gap_cycles,pct_user_kernel_body,pct_attributed_cycles,mean_issue_interval,p50_issue_interval,p90_issue_interval,p99_issue_interval,max_issue_interval,ex_top,op_top,pc_top,tcu_pc,store_start_pc,source,large_gap_threshold,large_gap_count,large_gap_cycles,large_gap_mean_interval,large_gap_pct_user_kernel_body
sgemm_tcu_m64_k64_n64,load_sync,25664,25664.0,76040,50376.0,73.2887406750583,73.2887406750583,2.962905236907731,1.0,7.0,19.0,2664,"ALU:15104, LSU:7424, FPU:2624, SFU:512","ADD:4800, SLLI:4672, FMV.S.X:2112, FLW:2048, LH:2048, LHU:2048, OR:2048, ADDI:1280","0x180000178:CSRRS:256, 0x18000017c:SLLI:256, 0x180000180:ADD:256, 0x180000184:SRLIW:256, 0x180000188:MUL:256, 0x18000018c:SLLI:256, 0x180000190:SLLI:256, 0x180000194:ANDI:256",0x1800002d0,0x1800002e0,simv.log dispatch PC/op + kernel.elf symbols,,,,,
sgemm_tcu_m64_k64_n64,compute,8192,8192.0,14453,6261.0,13.930065346878193,13.930065346878193,1.7642822265625,2.0,2.0,4.0,14,TCU:8192,"WMMA.fp16.fp32.0.0:1024, WMMA.fp16.fp32.0.1:1024, WMMA.fp16.fp32.0.2:1024, WMMA.fp16.fp32.0.3:1024, WMMA.fp16.fp32.1.0:1024, WMMA.fp16.fp32.1.1:1024, WMMA.fp16.fp32.1.2:1024, WMMA.fp16.fp32.1.3:1024","0x1800002d0:WMMA.fp16.fp32.0.0:1024, 0x1800002d0:WMMA.fp16.fp32.0.1:1024, 0x1800002d0:WMMA.fp16.fp32.0.2:1024, 0x1800002d0:WMMA.fp16.fp32.0.3:1024, 0x1800002d0:WMMA.fp16.fp32.1.0:1024, 0x1800002d0:WMMA.fp16.fp32.1.1:1024, 0x1800002d0:WMMA.fp16.fp32.1.2:1024, 0x1800002d0:WMMA.fp16.fp32.1.3:1024",0x1800002d0,0x1800002e0,simv.log dispatch PC/op + kernel.elf symbols,,,,,
sgemm_tcu_m64_k64_n64,compute_loop_overhead,768,768.0,1329,561.0,1.280914470767392,1.280914470767392,1.73046875,1.0,3.0,9.0,9,ALU:768,"ADDIW:256, ADD:256, BLTU:256","0x1800002d4:ADDIW:256, 0x1800002d8:ADD:256, 0x1800002dc:BLTU:256",0x1800002d0,0x1800002e0,simv.log dispatch PC/op + kernel.elf symbols,,,,,
sgemm_tcu_m64_k64_n64,store_sync,2432,2432.0,11932,9500.0,11.500279507296105,11.500279507296105,4.904233456637896,2.0,15.0,27.0,302,"LSU:1216, ALU:1152, SFU:64","FSW:512, LD:448, SLLI:320, ADD:320, FLD:256, MUL:128, JAL:64, CSRRS:64","0x1800002e0:JAL:64, 0x1800002f0:MUL:64, 0x1800002f4:SLLI:64, 0x1800002f8:CSRRS:64, 0x1800002fc:SRLI:64, 0x180000300:ADD:64, 0x180000304:SLLI:64, 0x180000308:SRLIW:64",0x1800002d0,0x1800002e0,simv.log dispatch PC/op + kernel.elf symbols,,,,,
sgemm_tcu_m64_k64_n64,tcu_gap_summary,8191,,98039,,94.49177863022149,,11.969112440483457,2.0,5.0,358.2000000000007,3065,,">100_count:150, >100_cycles:70349",,0x1800002d0,0x1800002e0,simv.log TCU dispatch intervals,100.0,150.0,70349.0,468.99333333333334,67.80365094357808
sgemm_tcu_bcol_m64_k64_n64,load_sync,12288,12288.0,61579,49291.0,71.83067375886525,71.83067375886525,5.011311848958333,2.0,13.0,19.0,2651,"ALU:6272, LSU:4928, FPU:576, SFU:512","FLW:4096, ADD:2240, SLLI:1664, MUL:640, FSGNJ.S:512, CSRRS:512, SRLIW:512, ANDI:512","0x180000134:CSRRS:256, 0x180000138:SLLI:256, 0x18000013c:ADD:256, 0x180000140:SRLIW:256, 0x180000144:MUL:256, 0x180000148:SLLI:256, 0x18000014c:SLLI:256, 0x180000150:ANDI:256",0x1800001cc,0x1800001d4,simv.log dispatch PC/op + kernel.elf symbols,,,,,
sgemm_tcu_bcol_m64_k64_n64,compute,8192,8192.0,14017,5825.0,16.350550578574094,16.350550578574094,1.7110595703125,2.0,2.0,2.0,2,TCU:8192,"WMMA.fp16.fp32.0.0:1024, WMMA.fp16.fp32.0.1:1024, WMMA.fp16.fp32.0.2:1024, WMMA.fp16.fp32.0.3:1024, WMMA.fp16.fp32.1.0:1024, WMMA.fp16.fp32.1.1:1024, WMMA.fp16.fp32.1.2:1024, WMMA.fp16.fp32.1.3:1024","0x1800001cc:WMMA.fp16.fp32.0.0:1024, 0x1800001cc:WMMA.fp16.fp32.0.1:1024, 0x1800001cc:WMMA.fp16.fp32.0.2:1024, 0x1800001cc:WMMA.fp16.fp32.0.3:1024, 0x1800001cc:WMMA.fp16.fp32.1.0:1024, 0x1800001cc:WMMA.fp16.fp32.1.1:1024, 0x1800001cc:WMMA.fp16.fp32.1.2:1024, 0x1800001cc:WMMA.fp16.fp32.1.3:1024",0x1800001cc,0x1800001d4,simv.log dispatch PC/op + kernel.elf symbols,,,,,
sgemm_tcu_bcol_m64_k64_n64,compute_loop_overhead,256,256.0,256,0.0,0.2986188876446435,0.2986188876446435,1.0,1.0,1.0,1.0,1,ALU:256,BLTU:256,0x1800001d0:BLTU:256,0x1800001cc,0x1800001d4,simv.log dispatch PC/op + kernel.elf symbols,,,,,
sgemm_tcu_bcol_m64_k64_n64,store_sync,1984,1984.0,9876,7892.0,11.520156774916014,11.520156774916014,4.975314861460957,1.0,8.0,27.0,954,"ALU:1152, LSU:768, SFU:64","FSW:512, SLLI:320, ADD:320, FLD:256, MUL:128, SRLI:128, CSRRS:64, SRLIW:64","0x1800001d4:MUL:64, 0x1800001d8:SLLI:64, 0x1800001dc:SRLI:64, 0x1800001e0:ADD:64, 0x1800001e4:CSRRS:64, 0x1800001e8:SLLI:64, 0x1800001ec:SRLI:64, 0x1800001f0:ADD:64",0x1800001cc,0x1800001d4,simv.log dispatch PC/op + kernel.elf symbols,,,,,
sgemm_tcu_bcol_m64_k64_n64,tcu_gap_summary,8191,,79973,,93.28690742814483,,9.763520937614455,2.0,2.0,20.0,2233,,">100_count:63, >100_cycles:62621",,0x1800001cc,0x1800001d4,simv.log TCU dispatch intervals,100.0,63.0,62621.0,993.984126984127,73.04614594998134
