trace,section,metric,value,unit
sgemm_tcu_m64_k64_n64,tcu_window,busy_cycles_denominator,113495.0,cycles
sgemm_tcu_m64_k64_n64,tcu_window,user_kernel_body_cycles_denominator,103754.0,cycles
sgemm_tcu_m64_k64_n64,tcu_pe,pe_count,2.0,count
sgemm_tcu_m64_k64_n64,tcu_pe,pe_fire_count,6924.0,count
sgemm_tcu_m64_k64_n64,tcu_pe,pe_stall_count,84.0,count
sgemm_tcu_m64_k64_n64,tcu_pe,active_cycles_any_pe,6924.0,cycles
sgemm_tcu_m64_k64_n64,tcu_pe,active_pct_busy,6.10070928234724,pct
sgemm_tcu_m64_k64_n64,tcu_pe,active_pct_user_kernel_body,6.673477649054495,pct
sgemm_tcu_m64_k64_n64,tcu_pe,pe_lane_util_pct_busy,3.05035464117362,pct
sgemm_tcu_m64_k64_n64,tcu_pe,pe_lane_util_pct_user_kernel_body,3.3367388245272473,pct
sgemm_tcu_m64_k64_n64,tcu_pe,pe_stall_pct_activity,1.1986301369863013,pct
sgemm_tcu_m64_k64_n64,tcu_pe,pe_fire_event_count,6924.0,count
sgemm_tcu_m64_k64_n64,tcu_pe,pe_fire_mean_interval,14.161346237180414,cycles
sgemm_tcu_m64_k64_n64,tcu_pe,pe_fire_p50_interval,3.0,cycles
sgemm_tcu_m64_k64_n64,tcu_pe,pe_fire_p90_interval,6.0,cycles
sgemm_tcu_m64_k64_n64,tcu_pe,pe_fire_p99_interval,398.33999999999924,cycles
sgemm_tcu_m64_k64_n64,tcu_pe,pe_fire_max_interval,3065.0,cycles
sgemm_tcu_m64_k64_n64,tcu_pe,pe_fire_max_burst_len,1.0,count
sgemm_tcu_m64_k64_n64,tcu_pe,pe_fire_consecutive_interval_pct,0.0,cycles
sgemm_tcu_m64_k64_n64,tcu_fp,pe_index,0.0,index
sgemm_tcu_m64_k64_n64,tcu_fp,fire_count,6924.0,count
sgemm_tcu_m64_k64_n64,tcu_fp,stall_count,84.0,count
sgemm_tcu_m64_k64_n64,tcu_fp,active_cycles,6924.0,cycles
sgemm_tcu_m64_k64_n64,tcu_fp,active_pct_busy,6.10070928234724,pct
sgemm_tcu_m64_k64_n64,tcu_fp,active_pct_user_kernel_body,6.673477649054495,pct
sgemm_tcu_m64_k64_n64,tcu_fp,util_pct_busy,6.10070928234724,pct
sgemm_tcu_m64_k64_n64,tcu_fp,util_pct_user_kernel_body,6.673477649054495,pct
sgemm_tcu_m64_k64_n64,tcu_fp,stall_pct_activity,1.1986301369863013,pct
sgemm_tcu_m64_k64_n64,tcu_fp,fire_event_count,6924.0,count
sgemm_tcu_m64_k64_n64,tcu_fp,fire_mean_interval,14.161346237180414,cycles
sgemm_tcu_m64_k64_n64,tcu_fp,fire_p50_interval,3.0,cycles
sgemm_tcu_m64_k64_n64,tcu_fp,fire_p90_interval,6.0,cycles
sgemm_tcu_m64_k64_n64,tcu_fp,fire_p99_interval,398.33999999999924,cycles
sgemm_tcu_m64_k64_n64,tcu_fp,fire_max_interval,3065.0,cycles
sgemm_tcu_m64_k64_n64,tcu_fp,fire_max_burst_len,1.0,count
sgemm_tcu_m64_k64_n64,tcu_fp,fire_consecutive_interval_pct,0.0,cycles
sgemm_tcu_m64_k64_n64,tcu_int,pe_index,1.0,index
sgemm_tcu_m64_k64_n64,tcu_int,fire_count,0.0,count
sgemm_tcu_m64_k64_n64,tcu_int,stall_count,0.0,count
sgemm_tcu_m64_k64_n64,tcu_int,active_cycles,0.0,cycles
sgemm_tcu_m64_k64_n64,tcu_int,active_pct_busy,0.0,pct
sgemm_tcu_m64_k64_n64,tcu_int,active_pct_user_kernel_body,0.0,pct
sgemm_tcu_m64_k64_n64,tcu_int,util_pct_busy,0.0,pct
sgemm_tcu_m64_k64_n64,tcu_int,util_pct_user_kernel_body,0.0,pct
sgemm_tcu_m64_k64_n64,tcu_int,stall_pct_activity,0.0,pct
sgemm_tcu_m64_k64_n64,tcu_int,fire_event_count,0.0,count
sgemm_tcu_m64_k64_n64,tcu_int,fire_mean_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,tcu_int,fire_p50_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,tcu_int,fire_p90_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,tcu_int,fire_p99_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,tcu_int,fire_max_interval,0.0,cycles
sgemm_tcu_m64_k64_n64,tcu_int,fire_max_burst_len,0.0,count
sgemm_tcu_m64_k64_n64,tcu_int,fire_consecutive_interval_pct,0.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_bytes,21824.0,bytes
sgemm_tcu_m64_k64_n64,hbm_axi,write_bytes,73652.0,bytes
sgemm_tcu_m64_k64_n64,hbm_axi,total_bytes,95476.0,bytes
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_count,346.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_count,341.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_count,9206.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_count,9206.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_count,9065.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,active_cycles,13387.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,active_pct_busy,11.795233270188113,pct
sgemm_tcu_m64_k64_n64,hbm_axi,active_pct_user_kernel_body,12.90263507912948,pct
sgemm_tcu_m64_k64_n64,hbm_axi,bandwidth_bytes_per_active_cycle,7.131993725255845,B/cycle
sgemm_tcu_m64_k64_n64,hbm_axi,bandwidth_bytes_per_busy_cycle,0.8412352967091061,B/cycle
sgemm_tcu_m64_k64_n64,hbm_axi,bandwidth_bytes_per_user_cycle,0.920215124236174,B/cycle
sgemm_tcu_m64_k64_n64,hbm_axi,read_latency_count,341.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,read_latency_mean,1265.58357771261,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_latency_p50,141.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_latency_p90,2688.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_latency_p99,10065.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_latency_max,10181.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_latency_count,9065.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_latency_mean,1535.5834528405958,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_latency_p50,1018.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_latency_p90,3754.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_latency_p99,5765.1600000000035,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_latency_max,6340.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_event_count,346.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_mean_interval,290.0608695652174,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_p50_interval,3.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_p90_interval,173.00000000000023,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_p99_interval,9227.64,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_max_interval,10053.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_max_burst_len,2.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,read_req_consecutive_interval_pct,2.898550724637681,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_event_count,341.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_mean_interval,294.3176470588235,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_p50_interval,3.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_p90_interval,177.4000000000001,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_p99_interval,9228.59,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_max_interval,10053.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_max_burst_len,2.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,read_rsp_consecutive_interval_pct,2.6470588235294117,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_event_count,9206.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_mean_interval,11.217599130907116,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_p50_interval,2.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_p90_interval,3.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_p99_interval,144.7199999999939,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_max_interval,5290.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_max_burst_len,4.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_addr_consecutive_interval_pct,19.043997827267788,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_event_count,9206.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_mean_interval,11.217599130907116,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_p50_interval,2.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_p90_interval,3.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_p99_interval,144.7199999999939,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_max_interval,5290.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_max_burst_len,4.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_data_consecutive_interval_pct,19.043997827267788,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_event_count,9065.0,count
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_mean_interval,11.392100617828774,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_p50_interval,2.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_p90_interval,3.0,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_p99_interval,146.3700000000008,cycles
sgemm_tcu_m64_k64_n64,hbm_axi,write_rsp_max_interval,5290.0,cycles
