trace,section,metric,value,unit
sgemm_tcu_m64_k64_n64,tcu,dispatch_count,8192.0,count
sgemm_tcu_m64_k64_n64,tcu,commit_count,8192.0,count
sgemm_tcu_m64_k64_n64,tcu,matched_count,8192.0,count
sgemm_tcu_m64_k64_n64,tcu,unmatched_dispatch_count,0.0,count
sgemm_tcu_m64_k64_n64,tcu,orphan_commit_count,0.0,count
sgemm_tcu_m64_k64_n64,tcu,first_dispatch_cycle,11832.0,cycle
sgemm_tcu_m64_k64_n64,tcu,last_dispatch_cycle,109871.0,cycle
sgemm_tcu_m64_k64_n64,tcu,first_commit_cycle,11841.0,cycle
sgemm_tcu_m64_k64_n64,tcu,last_commit_cycle,109880.0,cycle
sgemm_tcu_m64_k64_n64,tcu,active_dispatch_window_cycles,98040.0,cycles
sgemm_tcu_m64_k64_n64,tcu,active_commit_window_cycles,98040.0,cycles
sgemm_tcu_m64_k64_n64,tcu,latency_mean,11.03125,cycles
sgemm_tcu_m64_k64_n64,tcu,latency_p50,10.0,cycles
sgemm_tcu_m64_k64_n64,tcu,latency_p90,14.0,cycles
sgemm_tcu_m64_k64_n64,tcu,latency_p99,24.0,cycles
sgemm_tcu_m64_k64_n64,tcu,latency_max,70.0,cycles
sgemm_tcu_m64_k64_n64,tcu,dispatch_event_count,8192.0,count
sgemm_tcu_m64_k64_n64,tcu,dispatch_mean_interval,11.969112440483457,cycles
sgemm_tcu_m64_k64_n64,tcu,dispatch_p50_interval,2.0,cycles
sgemm_tcu_m64_k64_n64,tcu,dispatch_p90_interval,5.0,cycles
sgemm_tcu_m64_k64_n64,tcu,dispatch_p99_interval,358.2000000000007,cycles
sgemm_tcu_m64_k64_n64,tcu,dispatch_max_interval,3065.0,cycles
sgemm_tcu_m64_k64_n64,tcu,dispatch_max_burst_len,4.0,count
sgemm_tcu_m64_k64_n64,tcu,dispatch_consecutive_interval_pct,14.833353680869246,cycles
sgemm_tcu_m64_k64_n64,tcu,commit_event_count,8192.0,count
sgemm_tcu_m64_k64_n64,tcu,commit_mean_interval,11.969112440483457,cycles
sgemm_tcu_m64_k64_n64,tcu,commit_p50_interval,2.0,cycles
sgemm_tcu_m64_k64_n64,tcu,commit_p90_interval,6.0,cycles
sgemm_tcu_m64_k64_n64,tcu,commit_p99_interval,352.5000000000018,cycles
sgemm_tcu_m64_k64_n64,tcu,commit_max_interval,3065.0,cycles
sgemm_tcu_m64_k64_n64,tcu,commit_max_burst_len,6.0,count
sgemm_tcu_m64_k64_n64,tcu,commit_consecutive_interval_pct,25.68672933707728,cycles
sgemm_tcu_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.0.0_dispatch_count,1024.0,count
sgemm_tcu_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.0.1_dispatch_count,1024.0,count
sgemm_tcu_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.0.2_dispatch_count,1024.0,count
sgemm_tcu_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.0.3_dispatch_count,1024.0,count
sgemm_tcu_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.1.0_dispatch_count,1024.0,count
sgemm_tcu_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.1.1_dispatch_count,1024.0,count
sgemm_tcu_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.1.2_dispatch_count,1024.0,count
sgemm_tcu_m64_k64_n64,tcu_op,op_WMMA.fp16.fp32.1.3_dispatch_count,1024.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu,dispatch_count,8192.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu,commit_count,8192.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu,matched_count,8192.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu,unmatched_dispatch_count,0.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu,orphan_commit_count,0.0,count
sgemm_tcu_bcol_m64_k64_n64,tcu,first_dispatch_cycle,10969.0,cycle
sgemm_tcu_bcol_m64_k64_n64,tcu,last_dispatch_cycle,90942.0,cycle
sgemm_tcu_bcol_m64_k64_n64,tcu,first_commit_cycle,10978.0,cycle
sgemm_tcu_bcol_m64_k64_n64,tcu,last_commit_cycle,90953.0,cycle
sgemm_tcu_bcol_m64_k64_n64,tcu,active_dispatch_window_cycles,79974.0,cycles
