run_id,timestamp_utc,fpga_bin_label,git_commit,git_branch,git_dirty,suite,case_id,exec_key,app,kind,op,backend,variant,stage,name,args,shape_json,calls_per_forward,fpga_bin_dir,xclbin_sha256,warmup,iterations,source,status,returncode,failure_phase,failure_reason,raw_csv,power_csv,power_summary,measure_latency,measure_power,power_samples,power_elapsed_s,power_min_w,power_avg_w,power_max_w,power_parse_error,log_file,elapsed_wall_s,samples,min_us,avg_us,max_us,p50_us,p95_us,fpga_cycle_samples,fpga_cycle_min,fpga_cycle_avg,fpga_cycle_max,fpga_cycle_p50,fpga_cycle_p95,fpga_cycle,fpga_cycle_parse_error
20260629T195244089419Z,2026-06-29T19:53:07+00:00,improve_no_tcu_lut_fexp,0b7944f3ac26,fpint_improve,1,prefill_merged_improve_no_tcu_lut_fexp,llama3_8b_prefill_all_sgemm_tcu_batch1_prefill_seq_len512_qblk32_prefill_attn_softmax,114696d0c7,softmax,softmax,attn_softmax,softmax,all_sgemm_tcu_spinquant,prefill,attn_softmax,-batch 1 -heads 1 -seqq 512 -seqk 512 -mask 1,"{""batch"": 1, ""heads"": 1, ""mask"": 1, ""seqk"": 512, ""seqq"": 512}",1024.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_bf8685770a/bin,fe599833ae4624e6f3f6883f485b0d16647b2de2dbd16f83a3883f04f6633b32,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/raw/114696d0c7.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/logs/114696d0c7.log,7.266,1,53522.55,53522.55,53522.55,53522.55,53522.55,1,5217313,5217313,5217313,5217313,5217313,5217313,
20260629T195244089419Z,2026-06-29T19:53:15+00:00,improve_no_tcu_lut_fexp,0b7944f3ac26,fpint_improve,1,prefill_merged_improve_no_tcu_lut_fexp,llama3_8b_prefill_all_sgemm_tcu_batch1_prefill_seq_len1024_qblk32_prefill_attn_softmax,c80661b97f,softmax,softmax,attn_softmax,softmax,all_sgemm_tcu_spinquant,prefill,attn_softmax,-batch 1 -heads 1 -seqq 1024 -seqk 1024 -mask 1,"{""batch"": 1, ""heads"": 1, ""mask"": 1, ""seqk"": 1024, ""seqq"": 1024}",1024.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_bf8685770a/bin,fe599833ae4624e6f3f6883f485b0d16647b2de2dbd16f83a3883f04f6633b32,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/raw/c80661b97f.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/logs/c80661b97f.log,8.115,1,169412.049,169412.049,169412.049,169412.049,169412.049,1,16850803,16850803,16850803,16850803,16850803,16850803,
20260629T195244089419Z,2026-06-29T19:53:25+00:00,improve_no_tcu_lut_fexp,0b7944f3ac26,fpint_improve,1,prefill_merged_improve_no_tcu_lut_fexp,llama3_8b_prefill_all_sgemm_tcu_batch1_prefill_seq_len2048_qblk32_prefill_attn_softmax,5c6bc3f0f6,softmax,softmax,attn_softmax,softmax,all_sgemm_tcu_spinquant,prefill,attn_softmax,-batch 1 -heads 1 -seqq 2048 -seqk 2048 -mask 1,"{""batch"": 1, ""heads"": 1, ""mask"": 1, ""seqk"": 2048, ""seqq"": 2048}",1024.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_bf8685770a/bin,fe599833ae4624e6f3f6883f485b0d16647b2de2dbd16f83a3883f04f6633b32,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/raw/5c6bc3f0f6.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/logs/5c6bc3f0f6.log,10.184,1,597524.82,597524.82,597524.82,597524.82,597524.82,1,59566019,59566019,59566019,59566019,59566019,59566019,
20260629T195244089419Z,2026-06-29T19:53:42+00:00,improve_no_tcu_lut_fexp,0b7944f3ac26,fpint_improve,1,prefill_merged_improve_no_tcu_lut_fexp,llama3_8b_prefill_all_sgemm_tcu_batch1_prefill_seq_len4096_qblk32_prefill_attn_softmax,a183ed433b,softmax,softmax,attn_softmax,softmax,all_sgemm_tcu_spinquant,prefill,attn_softmax,-batch 1 -heads 1 -seqq 4096 -seqk 4096 -mask 1,"{""batch"": 1, ""heads"": 1, ""mask"": 1, ""seqk"": 4096, ""seqq"": 4096}",1024.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_bf8685770a/bin,fe599833ae4624e6f3f6883f485b0d16647b2de2dbd16f83a3883f04f6633b32,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/raw/a183ed433b.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/logs/a183ed433b.log,16.444,1,2226342.655,2226342.655,2226342.655,2226342.655,2226342.655,1,222493798,222493798,222493798,222493798,222493798,222493798,
20260629T195244089419Z,2026-06-29T19:53:49+00:00,improve_no_tcu_lut_fexp,0b7944f3ac26,fpint_improve,1,prefill_merged_improve_no_tcu_lut_fexp,llama3_8b_prefill_C4_fused_batch1_prefill_seq_len512_qblk32_prefill_attn_softmax,098a5347c9,softmax_layout_fused,softmax,attn_softmax,softmax_layout_fused,all_fpint_gemm_improve_fused_layout_spinquant,prefill,attn_softmax,-batch 1 -heads 1 -seqq 512 -seqk 512 -mask 1,"{""batch"": 1, ""consumer"": ""attn_pv"", ""heads"": 1, ""layout_from"": ""gemm_c_tiled"", ""layout_group"": ""attn_qkT_to_softmax_to_attn_pv"", ""layout_to"": ""gemm_a_tiled"", ""mask"": 1, ""producer"": ""attn_qkT"", ""seqk"": 512, ""seqq"": 512}",1024.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_bf8685770a/bin,fe599833ae4624e6f3f6883f485b0d16647b2de2dbd16f83a3883f04f6633b32,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/raw/098a5347c9.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/logs/098a5347c9.log,7.182,1,222521.945,222521.945,222521.945,222521.945,222521.945,1,22176534,22176534,22176534,22176534,22176534,22176534,
20260629T195244089419Z,2026-06-29T19:53:56+00:00,improve_no_tcu_lut_fexp,0b7944f3ac26,fpint_improve,1,prefill_merged_improve_no_tcu_lut_fexp,llama3_8b_prefill_C4_fused_batch1_prefill_seq_len1024_qblk32_prefill_attn_softmax,34d99bc09c,softmax_layout_fused,softmax,attn_softmax,softmax_layout_fused,all_fpint_gemm_improve_fused_layout_spinquant,prefill,attn_softmax,-batch 1 -heads 1 -seqq 1024 -seqk 1024 -mask 1,"{""batch"": 1, ""consumer"": ""attn_pv"", ""heads"": 1, ""layout_from"": ""gemm_c_tiled"", ""layout_group"": ""attn_qkT_to_softmax_to_attn_pv"", ""layout_to"": ""gemm_a_tiled"", ""mask"": 1, ""producer"": ""attn_qkT"", ""seqk"": 1024, ""seqq"": 1024}",1024.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_bf8685770a/bin,fe599833ae4624e6f3f6883f485b0d16647b2de2dbd16f83a3883f04f6633b32,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/raw/34d99bc09c.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/logs/34d99bc09c.log,6.984,1,493151.398,493151.398,493151.398,493151.398,493151.398,1,49153384,49153384,49153384,49153384,49153384,49153384,
20260629T195244089419Z,2026-06-29T19:54:07+00:00,improve_no_tcu_lut_fexp,0b7944f3ac26,fpint_improve,1,prefill_merged_improve_no_tcu_lut_fexp,llama3_8b_prefill_C4_fused_batch1_prefill_seq_len2048_qblk32_prefill_attn_softmax,c9cd3ef44f,softmax_layout_fused,softmax,attn_softmax,softmax_layout_fused,all_fpint_gemm_improve_fused_layout_spinquant,prefill,attn_softmax,-batch 1 -heads 1 -seqq 2048 -seqk 2048 -mask 1,"{""batch"": 1, ""consumer"": ""attn_pv"", ""heads"": 1, ""layout_from"": ""gemm_c_tiled"", ""layout_group"": ""attn_qkT_to_softmax_to_attn_pv"", ""layout_to"": ""gemm_a_tiled"", ""mask"": 1, ""producer"": ""attn_qkT"", ""seqk"": 2048, ""seqq"": 2048}",1024.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_bf8685770a/bin,fe599833ae4624e6f3f6883f485b0d16647b2de2dbd16f83a3883f04f6633b32,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/raw/c9cd3ef44f.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/logs/c9cd3ef44f.log,10.414,1,1221016.46,1221016.46,1221016.46,1221016.46,1221016.46,1,122000862,122000862,122000862,122000862,122000862,122000862,
20260629T195244089419Z,2026-06-29T19:54:25+00:00,improve_no_tcu_lut_fexp,0b7944f3ac26,fpint_improve,1,prefill_merged_improve_no_tcu_lut_fexp,llama3_8b_prefill_C4_fused_batch1_prefill_seq_len4096_qblk32_prefill_attn_softmax,7264a8c2d9,softmax_layout_fused,softmax,attn_softmax,softmax_layout_fused,all_fpint_gemm_improve_fused_layout_spinquant,prefill,attn_softmax,-batch 1 -heads 1 -seqq 4096 -seqk 4096 -mask 1,"{""batch"": 1, ""consumer"": ""attn_pv"", ""heads"": 1, ""layout_from"": ""gemm_c_tiled"", ""layout_group"": ""attn_qkT_to_softmax_to_attn_pv"", ""layout_to"": ""gemm_a_tiled"", ""mask"": 1, ""producer"": ""attn_qkT"", ""seqk"": 4096, ""seqq"": 4096}",1024.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_bf8685770a/bin,fe599833ae4624e6f3f6883f485b0d16647b2de2dbd16f83a3883f04f6633b32,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/raw/7264a8c2d9.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T195244089419Z/logs/7264a8c2d9.log,18.015,1,3416852.699,3416852.699,3416852.699,3416852.699,3416852.699,1,341588032,341588032,341588032,341588032,341588032,341588032,
20260629T203253818244Z,2026-06-29T20:33:16+00:00,improve_no_tcu_lut_fexp,0b7944f3ac26,fpint_improve,1,generation_merged_improve_no_tcu_lut_fexp,llama3_8b_generation_C1_batch1_gen_kv_len512_qblk32_generation_attn_softmax,2b59bed663,softmax,softmax,attn_softmax,softmax,all_sgemm_tcu_spinquant,generation,attn_softmax,-batch 1 -heads 32 -seqq 1 -seqk 512 -mask 0,"{""batch"": 1, ""heads"": 32, ""mask"": 0, ""seqk"": 512, ""seqq"": 1}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_bf8685770a/bin,fe599833ae4624e6f3f6883f485b0d16647b2de2dbd16f83a3883f04f6633b32,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T203253818244Z/raw/2b59bed663.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T203253818244Z/logs/2b59bed663.log,7.322,1,5858.546,5858.546,5858.546,5858.546,5858.546,1,467294,467294,467294,467294,467294,467294,
20260629T203253818244Z,2026-06-29T20:33:22+00:00,improve_no_tcu_lut_fexp,0b7944f3ac26,fpint_improve,1,generation_merged_improve_no_tcu_lut_fexp,llama3_8b_generation_C1_batch1_gen_kv_len1024_qblk32_generation_attn_softmax,7e0c2f3ed7,softmax,softmax,attn_softmax,softmax,all_sgemm_tcu_spinquant,generation,attn_softmax,-batch 1 -heads 32 -seqq 1 -seqk 1024 -mask 0,"{""batch"": 1, ""heads"": 32, ""mask"": 0, ""seqk"": 1024, ""seqq"": 1}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_bf8685770a/bin,fe599833ae4624e6f3f6883f485b0d16647b2de2dbd16f83a3883f04f6633b32,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T203253818244Z/raw/7e0c2f3ed7.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/improve_no_tcu_lut_fexp/runs/20260629T203253818244Z/logs/7e0c2f3ed7.log,6.472,1,7957.594,7957.594,7957.594,7957.594,7957.594,1,718230,718230,718230,718230,718230,718230,
