run_id,timestamp_utc,fpga_bin_label,git_commit,git_branch,git_dirty,suite,case_id,exec_key,app,kind,op,backend,variant,stage,name,args,shape_json,calls_per_forward,fpga_bin_dir,xclbin_sha256,warmup,iterations,source,status,returncode,failure_phase,failure_reason,raw_csv,power_csv,power_summary,measure_latency,measure_power,power_samples,power_elapsed_s,power_min_w,power_avg_w,power_max_w,power_parse_error,log_file,elapsed_wall_s,samples,min_us,avg_us,max_us,p50_us,p95_us,fpga_cycle_samples,fpga_cycle_min,fpga_cycle_avg,fpga_cycle_max,fpga_cycle_p50,fpga_cycle_p95,fpga_cycle,fpga_cycle_parse_error
20260629T140256813896Z,2026-06-29T14:03:28+00:00,naive_gemm_tcol32,0b7944f3ac26,fpint_improve,1,prefill_merged_naive_gemm_tcol32,llama3_8b_prefill_C2_batch1_prefill_seq_len512_qblk32_prefill_q_proj,2d0523d90f,fpint_gemm_ffn_hw_naive,gemm,q_proj,fpint_gemm_naive,attn_sgemm_tcu_fpint_gemm_naive_spinquant,prefill,q_proj,-m 512 -n 4096 -k 4096 -q 32 -t 0 -d 0,"{""K"": 4096, ""M"": 512, ""N"": 4096, ""QBLK"": 32, ""QDIR"": 0, ""WTRANS"": 0}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_569775c93b/bin,305691383bad7ab314db307aab78a49a7fe03861e41a4b4f5992a28a46e0953c,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/raw/2d0523d90f.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/logs/2d0523d90f.log,15.739,1,1370558.141,1370558.141,1370558.141,1370558.141,1370558.141,1,136958440,136958440,136958440,136958440,136958440,136958440,
20260629T140256813896Z,2026-06-29T14:03:41+00:00,naive_gemm_tcol32,0b7944f3ac26,fpint_improve,1,prefill_merged_naive_gemm_tcol32,llama3_8b_prefill_C2_batch1_prefill_seq_len512_qblk32_prefill_k_proj,510da116cc,fpint_gemm_ffn_hw_naive,gemm,k_proj,fpint_gemm_naive,attn_sgemm_tcu_fpint_gemm_naive_spinquant,prefill,k_proj,-m 512 -n 1024 -k 4096 -q 32 -t 0 -d 0,"{""K"": 4096, ""M"": 512, ""N"": 1024, ""QBLK"": 32, ""QDIR"": 0, ""WTRANS"": 0}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_569775c93b/bin,305691383bad7ab314db307aab78a49a7fe03861e41a4b4f5992a28a46e0953c,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/raw/510da116cc.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/logs/510da116cc.log,12.506,1,345009.027,345009.027,345009.027,345009.027,345009.027,1,34297684,34297684,34297684,34297684,34297684,34297684,
20260629T140256813896Z,2026-06-29T14:04:10+00:00,naive_gemm_tcol32,0b7944f3ac26,fpint_improve,1,prefill_merged_naive_gemm_tcol32,llama3_8b_prefill_C2_batch1_prefill_seq_len512_qblk32_prefill_gate_proj,b3e315f549,fpint_gemm_ffn_hw_naive,gemm,gate_proj,fpint_gemm_naive,attn_sgemm_tcu_fpint_gemm_naive_spinquant,prefill,gate_proj,-m 512 -n 14336 -k 4096 -q 32 -t 0 -d 0,"{""K"": 4096, ""M"": 512, ""N"": 14336, ""QBLK"": 32, ""QDIR"": 0, ""WTRANS"": 0}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_569775c93b/bin,305691383bad7ab314db307aab78a49a7fe03861e41a4b4f5992a28a46e0953c,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/raw/b3e315f549.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/logs/b3e315f549.log,28.912,1,4814623.735,4814623.735,4814623.735,4814623.735,4814623.735,1,481304487,481304487,481304487,481304487,481304487,481304487,
20260629T140256813896Z,2026-06-29T14:04:36+00:00,naive_gemm_tcol32,0b7944f3ac26,fpint_improve,1,prefill_merged_naive_gemm_tcol32,llama3_8b_prefill_C2_batch1_prefill_seq_len512_qblk32_prefill_down_proj,4d7b7c9aa1,fpint_gemm_ffn_hw_naive,gemm,down_proj,fpint_gemm_naive,attn_sgemm_tcu_fpint_gemm_naive_spinquant,prefill,down_proj,-m 512 -n 4096 -k 14336 -q 32 -t 0 -d 0,"{""K"": 14336, ""M"": 512, ""N"": 4096, ""QBLK"": 32, ""QDIR"": 0, ""WTRANS"": 0}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_569775c93b/bin,305691383bad7ab314db307aab78a49a7fe03861e41a4b4f5992a28a46e0953c,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/raw/4d7b7c9aa1.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/logs/4d7b7c9aa1.log,26.305,1,4798886.031,4798886.031,4798886.031,4798886.031,4798886.031,1,479763535,479763535,479763535,479763535,479763535,479763535,
20260629T140256813896Z,2026-06-29T14:04:56+00:00,naive_gemm_tcol32,0b7944f3ac26,fpint_improve,1,prefill_merged_naive_gemm_tcol32,llama3_8b_prefill_C2_batch1_prefill_seq_len1024_qblk32_prefill_q_proj,786a177c99,fpint_gemm_ffn_hw_naive,gemm,q_proj,fpint_gemm_naive,attn_sgemm_tcu_fpint_gemm_naive_spinquant,prefill,q_proj,-m 1024 -n 4096 -k 4096 -q 32 -t 0 -d 0,"{""K"": 4096, ""M"": 1024, ""N"": 4096, ""QBLK"": 32, ""QDIR"": 0, ""WTRANS"": 0}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_569775c93b/bin,305691383bad7ab314db307aab78a49a7fe03861e41a4b4f5992a28a46e0953c,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/raw/786a177c99.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/logs/786a177c99.log,19.905,1,2739823.454,2739823.454,2739823.454,2739823.454,2739823.454,1,273871071,273871071,273871071,273871071,273871071,273871071,
20260629T140256813896Z,2026-06-29T14:05:10+00:00,naive_gemm_tcol32,0b7944f3ac26,fpint_improve,1,prefill_merged_naive_gemm_tcol32,llama3_8b_prefill_C2_batch1_prefill_seq_len1024_qblk32_prefill_k_proj,f6710e3b5a,fpint_gemm_ffn_hw_naive,gemm,k_proj,fpint_gemm_naive,attn_sgemm_tcu_fpint_gemm_naive_spinquant,prefill,k_proj,-m 1024 -n 1024 -k 4096 -q 32 -t 0 -d 0,"{""K"": 4096, ""M"": 1024, ""N"": 1024, ""QBLK"": 32, ""QDIR"": 0, ""WTRANS"": 0}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_569775c93b/bin,305691383bad7ab314db307aab78a49a7fe03861e41a4b4f5992a28a46e0953c,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/raw/f6710e3b5a.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/logs/f6710e3b5a.log,13.876,1,687035.779,687035.779,687035.779,687035.779,687035.779,1,68551585,68551585,68551585,68551585,68551585,68551585,
20260629T140256813896Z,2026-06-29T14:05:47+00:00,naive_gemm_tcol32,0b7944f3ac26,fpint_improve,1,prefill_merged_naive_gemm_tcol32,llama3_8b_prefill_C2_batch1_prefill_seq_len1024_qblk32_prefill_gate_proj,44f08d08ab,fpint_gemm_ffn_hw_naive,gemm,gate_proj,fpint_gemm_naive,attn_sgemm_tcu_fpint_gemm_naive_spinquant,prefill,gate_proj,-m 1024 -n 14336 -k 4096 -q 32 -t 0 -d 0,"{""K"": 4096, ""M"": 1024, ""N"": 14336, ""QBLK"": 32, ""QDIR"": 0, ""WTRANS"": 0}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_569775c93b/bin,305691383bad7ab314db307aab78a49a7fe03861e41a4b4f5992a28a46e0953c,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/raw/44f08d08ab.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/logs/44f08d08ab.log,36.774,1,9626832.922,9626832.922,9626832.922,9626832.922,9626832.922,1,962551967,962551967,962551967,962551967,962551967,962551967,
20260629T140256813896Z,2026-06-29T14:06:25+00:00,naive_gemm_tcol32,0b7944f3ac26,fpint_improve,1,prefill_merged_naive_gemm_tcol32,llama3_8b_prefill_C2_batch1_prefill_seq_len1024_qblk32_prefill_down_proj,c8149720a7,fpint_gemm_ffn_hw_naive,gemm,down_proj,fpint_gemm_naive,attn_sgemm_tcu_fpint_gemm_naive_spinquant,prefill,down_proj,-m 1024 -n 4096 -k 14336 -q 32 -t 0 -d 0,"{""K"": 14336, ""M"": 1024, ""N"": 4096, ""QBLK"": 32, ""QDIR"": 0, ""WTRANS"": 0}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_569775c93b/bin,305691383bad7ab314db307aab78a49a7fe03861e41a4b4f5992a28a46e0953c,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/raw/c8149720a7.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/logs/c8149720a7.log,37.434,1,9596245.034,9596245.034,9596245.034,9596245.034,9596245.034,1,959502380,959502380,959502380,959502380,959502380,959502380,
20260629T140256813896Z,2026-06-29T14:06:51+00:00,naive_gemm_tcol32,0b7944f3ac26,fpint_improve,1,prefill_merged_naive_gemm_tcol32,llama3_8b_prefill_C2_batch1_prefill_seq_len2048_qblk32_prefill_q_proj,3c8ace3e38,fpint_gemm_ffn_hw_naive,gemm,q_proj,fpint_gemm_naive,attn_sgemm_tcu_fpint_gemm_naive_spinquant,prefill,q_proj,-m 2048 -n 4096 -k 4096 -q 32 -t 0 -d 0,"{""K"": 4096, ""M"": 2048, ""N"": 4096, ""QBLK"": 32, ""QDIR"": 0, ""WTRANS"": 0}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_569775c93b/bin,305691383bad7ab314db307aab78a49a7fe03861e41a4b4f5992a28a46e0953c,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/raw/3c8ace3e38.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/logs/3c8ace3e38.log,26.634,1,5477919.806,5477919.806,5477919.806,5477919.806,5477919.806,1,547700587,547700587,547700587,547700587,547700587,547700587,
20260629T140256813896Z,2026-06-29T14:07:08+00:00,naive_gemm_tcol32,0b7944f3ac26,fpint_improve,1,prefill_merged_naive_gemm_tcol32,llama3_8b_prefill_C2_batch1_prefill_seq_len2048_qblk32_prefill_k_proj,dd90047c9c,fpint_gemm_ffn_hw_naive,gemm,k_proj,fpint_gemm_naive,attn_sgemm_tcu_fpint_gemm_naive_spinquant,prefill,k_proj,-m 2048 -n 1024 -k 4096 -q 32 -t 0 -d 0,"{""K"": 4096, ""M"": 2048, ""N"": 1024, ""QBLK"": 32, ""QDIR"": 0, ""WTRANS"": 0}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_noDcache_L2cache_569775c93b/bin,305691383bad7ab314db307aab78a49a7fe03861e41a4b4f5992a28a46e0953c,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/raw/dd90047c9c.csv,,,1,0,,,,,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main/naive_gemm_tcol32/runs/20260629T140256813896Z/logs/dd90047c9c.log,16.749,1,1371981.42,1371981.42,1371981.42,1371981.42,1371981.42,1,137056601,137056601,137056601,137056601,137056601,137056601,
