run_id,timestamp_utc,fpga_bin_label,git_commit,git_branch,git_dirty,suite,case_id,exec_key,app,kind,op,backend,variant,stage,name,args,shape_json,calls_per_forward,fpga_bin_dir,xclbin_sha256,warmup,iterations,source,status,returncode,failure_phase,failure_reason,raw_csv,power_csv,power_summary,measure_latency,measure_power,power_samples,power_elapsed_s,power_min_w,power_avg_w,power_max_w,power_parse_error,log_file,elapsed_wall_s,samples,min_us,avg_us,max_us,p50_us,p95_us
20260619T050841476265Z,2026-06-19T05:09:20+00:00,naive_simd,dda9896d0ed9,fpint_improve,1,prefill_merged_naive_simd,llama2_7b_prefill_all_sgemm_tcu_batch1_prefill_seq_len512_qblk32_prefill_residual_attn,f95b2e2978,eladd,eladd,residual_attn,eladd,all_sgemm_tcu_spinquant,prefill,residual_attn,-n 2097152,"{""size"": 2097152}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_tcu_noDcache_L2cache_90f22d2615/bin,f9d4c06cee4c6e36c642ff55483c0dd89e2a213a6dc34439696792e38ae26795,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/raw/f95b2e2978.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/power/f95b2e2978.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/power/f95b2e2978.summary.csv,0,1,71,10.153079,11.3715,12.640163,12.9256,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/logs/f95b2e2978.log,23.078,0,,,,,
20260619T050841476265Z,2026-06-19T05:09:46+00:00,naive_simd,dda9896d0ed9,fpint_improve,1,prefill_merged_naive_simd,llama2_7b_prefill_all_sgemm_tcu_batch1_prefill_seq_len512_qblk32_prefill_mlp_elmul,8c56c78a6e,elmul,elmul,mlp_elmul,elmul,all_sgemm_tcu_spinquant,prefill,mlp_elmul,-n 5636096,"{""size"": 5636096}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_tcu_noDcache_L2cache_90f22d2615/bin,f9d4c06cee4c6e36c642ff55483c0dd89e2a213a6dc34439696792e38ae26795,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/raw/8c56c78a6e.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/power/8c56c78a6e.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/power/8c56c78a6e.summary.csv,0,1,77,10.029775,11.6312,12.780478,13.0848,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/logs/8c56c78a6e.log,25.717,0,,,,,
20260619T050841476265Z,2026-06-19T05:10:12+00:00,naive_simd,dda9896d0ed9,fpint_improve,1,prefill_merged_naive_simd,llama2_7b_prefill_all_sgemm_tcu_batch1_prefill_seq_len512_qblk32_prefill_spinquant_r3_q_hadamard,a9d73769fe,hadamard,hadamard,spinquant_r3_q_hadamard,hadamard,all_sgemm_tcu_spinquant,prefill,spinquant_r3_q_hadamard,-rows 16384 -dim 128,"{""consumer"": ""attn_qkT"", ""dim"": 128, ""layout_from"": ""row_major_fp16"", ""layout_group"": ""rope_q_to_spinquant_r3_q_to_attn_qkT"", ""layout_to"": ""row_major_fp16"", ""producer"": ""rope_q"", ""rows"": 16384, ""spinquant_rotation"": ""R3""}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_tcu_noDcache_L2cache_90f22d2615/bin,f9d4c06cee4c6e36c642ff55483c0dd89e2a213a6dc34439696792e38ae26795,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/raw/a9d73769fe.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/power/a9d73769fe.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/power/a9d73769fe.summary.csv,0,1,74,12.066966,11.4602,11.77498,12.2298,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/logs/a9d73769fe.log,26.422,0,,,,,
20260619T050841476265Z,2026-06-19T05:10:38+00:00,naive_simd,dda9896d0ed9,fpint_improve,1,prefill_merged_naive_simd,llama2_7b_prefill_all_sgemm_tcu_batch1_prefill_seq_len512_qblk32_prefill_spinquant_r4_mlp_hadamard,93dc3283d9,hadamard,hadamard,spinquant_r4_mlp_hadamard,hadamard,all_sgemm_tcu_spinquant,prefill,spinquant_r4_mlp_hadamard,-rows 512 -dim 11008,"{""consumer"": ""down_proj"", ""dim"": 11008, ""layout_from"": ""row_major_fp16"", ""layout_group"": ""mlp_elmul_to_spinquant_r4_to_down_proj"", ""layout_to"": ""row_major_fp16"", ""producer"": ""mlp_elmul"", ""rows"": 512, ""spinquant_rotation"": ""R4""}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_tcu_noDcache_L2cache_90f22d2615/bin,f9d4c06cee4c6e36c642ff55483c0dd89e2a213a6dc34439696792e38ae26795,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/raw/93dc3283d9.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/power/93dc3283d9.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/power/93dc3283d9.summary.csv,0,1,72,10.615642,11.7135,12.860282,13.0968,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/logs/93dc3283d9.log,25.913,0,,,,,
20260619T050841476265Z,2026-06-19T05:11:01+00:00,naive_simd,dda9896d0ed9,fpint_improve,1,prefill_merged_naive_simd,llama2_7b_prefill_all_sgemm_tcu_batch1_prefill_seq_len512_qblk32_prefill_attn_head_concat,e197a29dd2,head_concat,concat,attn_head_concat,head_concat,all_sgemm_tcu_spinquant,prefill,attn_head_concat,-batch 1 -seq 512 -heads 32 -headdim 128,"{""batch"": 1, ""consumer"": ""o_proj"", ""headdim"": 128, ""heads"": 32, ""hidden"": 4096, ""layout_from"": ""row_major"", ""layout_group"": ""attn_pv_to_head_concat_to_o_proj"", ""layout_to"": ""row_major"", ""producer"": ""attn_pv"", ""seq"": 512}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_tcu_noDcache_L2cache_90f22d2615/bin,f9d4c06cee4c6e36c642ff55483c0dd89e2a213a6dc34439696792e38ae26795,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/raw/e197a29dd2.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/power/e197a29dd2.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/power/e197a29dd2.summary.csv,0,1,79,10.455144,11.7167,11.892052,12.0587,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T050841476265Z/logs/e197a29dd2.log,22.445,0,,,,,
20260619T112321091864Z,2026-06-19T11:23:54+00:00,naive_simd,dda9896d0ed9,fpint_improve,1,prefill_merged_naive_simd,llama2_7b_prefill_all_sgemm_tcu_batch1_prefill_seq_len512_qblk32_prefill_kv_cache_quant_rope_k_to_attn_qkT,db21010e56,kv_cache_quant_w4a16,quantization,kv_cache_quant_rope_k_to_attn_qkT,kv_cache_quant_w4a16,all_sgemm_tcu_spinquant,prefill,kv_cache_quant_rope_k_to_attn_qkT,-k 512 -n 128 -q 128 -d 1 -t 1,"{""K"": 512, ""N"": 128, ""QBLK"": 128, ""QDIR"": 1, ""WTRANS"": 1, ""cache_len"": 512, ""cache_update"": ""full"", ""consumer"": ""kv_cache:k"", ""gemm_QDIR"": 0, ""layout_from"": ""row_major_fp16"", ""layout_group"": ""spinquant_r3_k_hadamard_to_kv_cache"", ""layout_to"": ""packed_w4a16_row_major"", ""producer"": ""spinquant_r3_k_hadamard"", ""qparam_layout_to"": ""qparams_row_major"", ""source_QDIR"": 1, ""source_transposed"": true}",1024.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_tcu_noDcache_L2cache_90f22d2615/bin,f9d4c06cee4c6e36c642ff55483c0dd89e2a213a6dc34439696792e38ae26795,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T112321091864Z/raw/db21010e56.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T112321091864Z/power/db21010e56.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T112321091864Z/power/db21010e56.summary.csv,0,1,77,10.053481,11.3715,13.009573,13.2648,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T112321091864Z/logs/db21010e56.log,20.008,0,,,,,
20260619T112321091864Z,2026-06-19T11:24:16+00:00,naive_simd,dda9896d0ed9,fpint_improve,1,prefill_merged_naive_simd,llama2_7b_prefill_all_sgemm_tcu_batch1_prefill_seq_len512_qblk32_prefill_kv_cache_quant_v_cache_to_attn_pv,44773da89d,kv_cache_quant_w4a16,quantization,kv_cache_quant_v_cache_to_attn_pv,kv_cache_quant_w4a16,all_sgemm_tcu_spinquant,prefill,kv_cache_quant_v_cache_to_attn_pv,-k 512 -n 128 -q 128 -d 1 -t 0,"{""K"": 512, ""N"": 128, ""QBLK"": 128, ""QDIR"": 1, ""WTRANS"": 0, ""cache_len"": 512, ""cache_update"": ""full"", ""consumer"": ""kv_cache:v"", ""gemm_QDIR"": 1, ""layout_from"": ""row_major_fp16"", ""layout_group"": ""v_cache_to_kv_cache"", ""layout_to"": ""packed_w4a16_row_major"", ""producer"": ""v_proj"", ""qparam_layout_to"": ""qparams_row_major"", ""source_QDIR"": 1}",1024.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_tcu_noDcache_L2cache_90f22d2615/bin,f9d4c06cee4c6e36c642ff55483c0dd89e2a213a6dc34439696792e38ae26795,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T112321091864Z/raw/44773da89d.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T112321091864Z/power/44773da89d.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T112321091864Z/power/44773da89d.summary.csv,0,1,78,10.051164,11.286,12.943354,13.2525,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T112321091864Z/logs/44773da89d.log,21.585,0,,,,,
20260619T112321091864Z,2026-06-19T11:24:38+00:00,naive_simd,dda9896d0ed9,fpint_improve,1,prefill_merged_naive_simd,llama2_7b_prefill_all_sgemm_tcu_batch1_prefill_seq_len512_qblk32_prefill_input_layernorm,4d08130c33,rmsnorm,rmsnorm,input_layernorm,rmsnorm,all_sgemm_tcu_spinquant,prefill,input_layernorm,-batch 1 -seq 512 -hidden 4096,"{""batch"": 1, ""hidden"": 4096, ""seq"": 512}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_tcu_noDcache_L2cache_90f22d2615/bin,f9d4c06cee4c6e36c642ff55483c0dd89e2a213a6dc34439696792e38ae26795,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T112321091864Z/raw/4d08130c33.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T112321091864Z/power/4d08130c33.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T112321091864Z/power/4d08130c33.summary.csv,0,1,77,10.012745,11.5425,12.245627,12.7544,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T112321091864Z/logs/4d08130c33.log,22.086,0,,,,,
20260619T145753631980Z,2026-06-19T14:58:27+00:00,naive_simd,dda9896d0ed9,fpint_improve,1,prefill_merged_naive_simd,llama2_7b_prefill_all_sgemm_tcu_batch1_prefill_seq_len512_qblk32_prefill_rope_q,81a1c79dbc,rope,rope,rope_q,rope,all_sgemm_tcu_spinquant,prefill,rope_q,-batch 1 -seq 512 -heads 32 -headdim 128 -maxseq 4096 -offset 0,"{""batch"": 1, ""headdim"": 128, ""heads"": 32, ""maxseq"": 4096, ""offset"": 0, ""seq"": 512}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_tcu_noDcache_L2cache_90f22d2615/bin,f9d4c06cee4c6e36c642ff55483c0dd89e2a213a6dc34439696792e38ae26795,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T145753631980Z/raw/81a1c79dbc.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T145753631980Z/power/81a1c79dbc.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T145753631980Z/power/81a1c79dbc.summary.csv,0,1,77,9.982406,11.3747,12.209692,12.3975,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T145753631980Z/logs/81a1c79dbc.log,22.854,0,,,,,
20260619T145753631980Z,2026-06-19T14:59:12+00:00,naive_simd,dda9896d0ed9,fpint_improve,1,prefill_merged_naive_simd,llama2_7b_prefill_all_sgemm_tcu_batch1_prefill_seq_len512_qblk32_prefill_q_proj,dd474b66b8,sgemm_tcu,gemm,q_proj,sgemm_tcu,all_sgemm_tcu_spinquant,prefill,q_proj,-m 512 -n 4096 -k 4096,"{""K"": 4096, ""M"": 512, ""N"": 4096}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_tcu_noDcache_L2cache_90f22d2615/bin,f9d4c06cee4c6e36c642ff55483c0dd89e2a213a6dc34439696792e38ae26795,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T145753631980Z/raw/dd474b66b8.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T145753631980Z/power/dd474b66b8.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T145753631980Z/power/dd474b66b8.summary.csv,0,1,79,13.710784,11.3715,13.095134,13.436,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T145753631980Z/logs/dd474b66b8.log,44.369,0,,,,,
20260619T145753631980Z,2026-06-19T14:59:33+00:00,naive_simd,dda9896d0ed9,fpint_improve,1,prefill_merged_naive_simd,llama2_7b_prefill_all_sgemm_tcu_batch1_prefill_seq_len512_qblk32_prefill_attn_qkT,794b5549a0,sgemm_tcu,gemm,attn_qkT,sgemm_tcu,all_sgemm_tcu_spinquant,prefill,attn_qkT,-m 512 -n 512 -k 128,"{""K"": 128, ""M"": 512, ""N"": 512, ""per_head"": true}",1024.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_tcu_noDcache_L2cache_90f22d2615/bin,f9d4c06cee4c6e36c642ff55483c0dd89e2a213a6dc34439696792e38ae26795,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T145753631980Z/raw/794b5549a0.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T145753631980Z/power/794b5549a0.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T145753631980Z/power/794b5549a0.summary.csv,0,1,76,9.89891,11.4602,12.147643,12.8368,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T145753631980Z/logs/794b5549a0.log,21.325,0,,,,,
20260619T151823132349Z,2026-06-19T15:18:58+00:00,naive_simd,dda9896d0ed9,fpint_improve,1,generation_merged_naive_simd,llama2_7b_generation_C1_batch8_gen_kv_len512_qblk32_generation_residual_attn,09c739a2ff,eladd,eladd,residual_attn,eladd,all_sgemm_tcu_spinquant,generation,residual_attn,-n 32768,"{""size"": 32768}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_tcu_noDcache_L2cache_90f22d2615/bin,f9d4c06cee4c6e36c642ff55483c0dd89e2a213a6dc34439696792e38ae26795,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T151823132349Z/raw/09c739a2ff.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T151823132349Z/power/09c739a2ff.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T151823132349Z/power/09c739a2ff.summary.csv,0,1,80,10.222443,11.457,11.995605,12.84,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T151823132349Z/logs/09c739a2ff.log,21.072,0,,,,,
20260619T151823132349Z,2026-06-19T15:19:19+00:00,naive_simd,dda9896d0ed9,fpint_improve,1,generation_merged_naive_simd,llama2_7b_generation_C1_batch8_gen_kv_len512_qblk32_generation_mlp_elmul,054ea8155f,elmul,elmul,mlp_elmul,elmul,all_sgemm_tcu_spinquant,generation,mlp_elmul,-n 88064,"{""size"": 88064}",32.0,/opt/vortex_fpga_bins/fpint/xrt_hw_u55c_c1_f100_fpint_tcu_noDcache_L2cache_90f22d2615/bin,f9d4c06cee4c6e36c642ff55483c0dd89e2a213a6dc34439696792e38ae26795,0,1,explicit,pass,0,,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T151823132349Z/raw/054ea8155f.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T151823132349Z/power/054ea8155f.csv,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T151823132349Z/power/054ea8155f.summary.csv,0,1,81,10.235518,11.5425,12.367375,13.0078,,/home/jaeyongjang/project.local/vortex/analysis_workspace/latency_on_hw/outputs_main_power/naive_simd/runs/20260619T151823132349Z/logs/054ea8155f.log,20.959,0,,,,,
