run_id,timestamp_utc,fpga_bin_label,git_commit,git_branch,git_dirty,suite,case_id,exec_key,app,kind,op,backend,variant,stage,name,args,shape_json,calls_per_forward,fpga_bin_dir,xclbin_sha256,warmup,iterations,source,status,returncode,failure_phase,failure_reason,raw_csv,log_file,elapsed_wall_s,samples,min_us,avg_us,max_us,p50_us,p95_us
sample_prefill_C1_b1_s8_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C1_batch1_seq8_attn,sp_p_c1_b1_s8_attn,synthetic_latency_bench,workload,attn,synthetic,C1,prefill,attn,--sample-op attn --stage prefill --variant C1 --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,332.5,367.5,402.5,350,392
sample_prefill_C1_b1_s8_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C1_batch1_seq8_ffn,sp_p_c1_b1_s8_ffn,synthetic_latency_bench,workload,ffn,synthetic,C1,prefill,ffn,--sample-op ffn --stage prefill --variant C1 --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,522.5,577.5,632.5,550,616
sample_prefill_C1_b1_s8_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C1_batch1_seq8_norm,sp_p_c1_b1_s8_norm,synthetic_latency_bench,workload,norm,synthetic,C1,prefill,norm,--sample-op norm --stage prefill --variant C1 --batch 1 --seq 8,"{""batch"": 1,""seq"": 8,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,95,105,115,100,112
sample_prefill_C1_b1_s32_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C1_batch1_seq32_attn,sp_p_c1_b1_s32_attn,synthetic_latency_bench,workload,attn,synthetic,C1,prefill,attn,--sample-op attn --stage prefill --variant C1 --batch 1 --seq 32,"{""batch"": 1,""seq"": 32,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1263.5,1396.5,1529.5,1330,1489.6
sample_prefill_C1_b1_s32_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C1_batch1_seq32_ffn,sp_p_c1_b1_s32_ffn,synthetic_latency_bench,workload,ffn,synthetic,C1,prefill,ffn,--sample-op ffn --stage prefill --variant C1 --batch 1 --seq 32,"{""batch"": 1,""seq"": 32,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1985.5,2194.5,2403.5,2090,2340.8
sample_prefill_C1_b1_s32_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C1_batch1_seq32_norm,sp_p_c1_b1_s32_norm,synthetic_latency_bench,workload,norm,synthetic,C1,prefill,norm,--sample-op norm --stage prefill --variant C1 --batch 1 --seq 32,"{""batch"": 1,""seq"": 32,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,361,399,437,380,425.6
sample_prefill_C1_b4_s8_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C1_batch4_seq8_attn,sp_p_c1_b4_s8_attn,synthetic_latency_bench,workload,attn,synthetic,C1,prefill,attn,--sample-op attn --stage prefill --variant C1 --batch 4 --seq 8,"{""batch"": 4,""seq"": 8,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1197,1323,1449,1260,1411.2
sample_prefill_C1_b4_s8_ffn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C1_batch4_seq8_ffn,sp_p_c1_b4_s8_ffn,synthetic_latency_bench,workload,ffn,synthetic,C1,prefill,ffn,--sample-op ffn --stage prefill --variant C1 --batch 4 --seq 8,"{""batch"": 4,""seq"": 8,""component"": ""ffn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,1881,2079,2277,1980,2217.6
sample_prefill_C1_b4_s8_norm,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C1_batch4_seq8_norm,sp_p_c1_b4_s8_norm,synthetic_latency_bench,workload,norm,synthetic,C1,prefill,norm,--sample-op norm --stage prefill --variant C1 --batch 4 --seq 8,"{""batch"": 4,""seq"": 8,""component"": ""norm""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,342,378,414,360,403.2
sample_prefill_C1_b4_s32_attn,2026-06-04T00:00:00+00:00,sample,example,fpint_improve,0,plot_sample,llama2_7b_prefill_C1_batch4_seq32_attn,sp_p_c1_b4_s32_attn,synthetic_latency_bench,workload,attn,synthetic,C1,prefill,attn,--sample-op attn --stage prefill --variant C1 --batch 4 --seq 32,"{""batch"": 4,""seq"": 32,""component"": ""attn""}",1,,sample_sha,1,1,case_matrix:llama2_7b_prefill_plot_sample,pass,0,,,,,0.100,1,4548.6,5027.4,5506.2,4788,5362.56
