macro_name,sram_type,depth,data_width,width_um,height_um,area_um2
cmos28lpp_ra1w_hd_1024x64m8,HD,1024,64,333.262000,49.266000,16418.485692
cmos28lpp_ra1w_hd_2048x64m16,HD,2048,64,666.292000,55.818000,37191.086856
cmos28lpp_ra1w_hd_4096x64m16,HD,4096,64,666.292000,88.666000,59077.446472
cmos28lpp_ra1w_hd_8192x64m16,HD,8192,64,666.292000,154.652000,103043.390384
cmos28lpp_ra1w_hs_1024x128m8,HS,1024,128,826.824000,60.682000,50173.333968
cmos28lpp_ra1w_hs_1024x64m8,HS,1024,64,413.552000,60.682000,25095.162464
cmos28lpp_ra1w_hs_2048x128m8,HS,2048,128,826.824000,107.562000,88934.843088
cmos28lpp_ra1w_hs_2048x64m8,HS,2048,64,413.552000,107.562000,44482.480224
cmos28lpp_ra1w_hs_256x128m8,HS,256,128,826.824000,35.730000,29542.421520
cmos28lpp_ra1w_hs_4096x128m8,HS,4096,128,826.824000,201.196000,166353.681504
cmos28lpp_ra1w_hs_4096x64m8,HS,4096,64,413.552000,201.196000,83205.008192
cmos28lpp_ra1w_hs_512x128m8,HS,512,128,826.824000,43.794000,36209.930256
cmos28lpp_ra1w_hs_512x64m8,HS,512,64,413.552000,43.794000,18111.096288
cmos28lpp_ra1w_hs_8192x64m16,HS,8192,64,826.824000,201.196000,166353.681504
